meal_1_idx,meal_2_idx,meal_3_idx,meal_4_idx,meal_5_idx,meal_6_idx,meal_7_idx,meal_8_idx,meal_9_idx,meal_10_idx,meal_11_idx,meal_12_idx,meal_13_idx,meal_14_idx,meal_15_idx,meal_16_idx,meal_17_idx,meal_18_idx,meal_19_idx,meal_20_idx,meal_21_idx,meal_22_idx,meal_23_idx,meal_24_idx,meal_25_idx,meal_26_idx,meal_27_idx,meal_28_idx,meal_29_idx,meal_30_idx,meal_31_idx,meal_32_idx,meal_33_idx,meal_34_idx,meal_35_idx,meal_36_idx,meal_37_idx,meal_38_idx,meal_39_idx,meal_40_idx,meal_41_idx,meal_42_idx,meal_43_idx,meal_44_idx,meal_45_idx,meal_46_idx,meal_47_idx,meal_48_idx,meal_49_idx,meal_50_idx,meal_51_idx,meal_52_idx,meal_53_idx,meal_54_idx,meal_55_idx,meal_56_idx,meal_57_idx,meal_58_idx,meal_59_idx,meal_60_idx,meal_61_idx,meal_62_idx
nasigoreng,roti,soto,cireng,nasi_uduk,cireng,roti,buah,nasipadang,nasi telur,sate,sate,sate,seblak,roti,capcay,warteg,salad,mi instan ,soto,bakso,cireng,bakso,nasigoreng,nasi telur,soto,warteg,ayamgeprek,seblak,bakso,nasi telur,nasi telur,nasipadang,soto,buah,mieayam,buah,cireng,capcay,warteg,salad,sate,mi instan ,capcay,cireng,cireng,sate,sate,capcay,soto,ayamgeprek,nasipadang,warteg,capcay,nasipadang,mieayam,nasipadang,nasigoreng,seblak,roti,capcay,nasi_uduk
cireng,warteg,capcay,ayamgeprek,salad,ayamgeprek,seblak,gorengan,cireng,gorengan,buah,cireng,mieayam,roti,gorengan,ayamgeprek,cireng,buah,soto,soto,nasipadang,warteg,ayamgeprek,ayamgeprek,nasigoreng,nasigoreng,ayamgeprek,capcay,warteg,warteg,mi instan ,mieayam,cireng,sate,nasipadang,mi instan ,bubur,gorengan,nasi_uduk,roti,bubur,warteg,soto,nasigoreng,bakso,nasi_uduk,soto,nasigoreng,mi instan ,nasipadang,soto,mi instan ,gorengan,warteg,bubur,sate,bakso,nasigoreng,mieayam,seblak,mieayam,buah
cireng,nasipadang,nasi_uduk,gorengan,cireng,mi instan ,capcay,seblak,bakso,roti,mi instan ,mieayam,nasi telur,bubur,nasi telur,bakso,nasipadang,warteg,bubur,soto,mieayam,ayamgeprek,mieayam,warteg,soto,nasigoreng,salad,cireng,roti,mi instan ,ayamgeprek,sate,sate,nasi_uduk,salad,ayamgeprek,roti,capcay,buah,bubur,warteg,gorengan,roti,roti,capcay,bubur,warteg,bubur,gorengan,nasipadang,sate,gorengan,nasi telur,nasi telur,soto,gorengan,warteg,nasigoreng,capcay,salad,cireng,mieayam
nasipadang,soto,sate,bakso,ayamgeprek,nasigoreng,capcay,capcay,nasigoreng,mi instan ,nasi telur,nasi_uduk,cireng,capcay,nasipadang,nasi_uduk,gorengan,nasi_uduk,seblak,mi instan ,bakso,mi instan ,nasi_uduk,bubur,mieayam,nasi telur,capcay,nasigoreng,bakso,nasigoreng,warteg,bakso,sate,nasi telur,salad,nasigoreng,seblak,sate,salad,mi instan ,bakso,nasi telur,nasigoreng,buah,seblak,bubur,nasipadang,sate,mi instan ,buah,ayamgeprek,roti,buah,mieayam,soto,nasigoreng,roti,warteg,gorengan,nasi telur,bubur,soto
cireng,bakso,salad,ayamgeprek,ayamgeprek,roti,seblak,warteg,nasipadang,gorengan,bubur,nasi_uduk,nasi_uduk,salad,gorengan,nasi telur,nasi telur,gorengan,salad,nasipadang,capcay,capcay,ayamgeprek,cireng,nasi telur,mieayam,nasi_uduk,salad,nasigoreng,nasi telur,roti,bubur,ayamgeprek,nasi telur,seblak,bakso,mieayam,bakso,buah,mieayam,nasigoreng,sate,nasipadang,nasi_uduk,seblak,salad,mi instan ,soto,capcay,nasi_uduk,buah,nasi_uduk,soto,mieayam,mieayam,sate,warteg,soto,gorengan,nasi_uduk,bubur,capcay
capcay,salad,nasipadang,buah,ayamgeprek,warteg,roti,capcay,ayamgeprek,salad,bakso,bubur,nasi_uduk,mieayam,seblak,mieayam,nasi telur,nasipadang,ayamgeprek,capcay,nasi_uduk,capcay,capcay,seblak,cireng,ayamgeprek,gorengan,mi instan ,nasi_uduk,sate,bubur,sate,sate,ayamgeprek,capcay,bubur,nasigoreng,mi instan ,salad,soto,sate,bubur,ayamgeprek,nasi_uduk,roti,ayamgeprek,nasi telur,nasipadang,ayamgeprek,cireng,bakso,nasipadang,gorengan,mi instan ,cireng,seblak,mieayam,bubur,ayamgeprek,salad,sate,cireng
nasipadang,salad,capcay,gorengan,gorengan,mieayam,gorengan,capcay,bubur,cireng,ayamgeprek,mieayam,soto,buah,bakso,salad,capcay,bubur,buah,nasi_uduk,nasi telur,soto,nasi telur,ayamgeprek,mi instan ,nasi telur,bubur,buah,mi instan ,seblak,sate,buah,salad,cireng,nasi telur,nasigoreng,buah,gorengan,soto,bakso,nasi telur,nasigoreng,sate,soto,seblak,roti,bakso,nasi_uduk,sate,mi instan ,mieayam,buah,salad,nasi_uduk,salad,nasipadang,seblak,mi instan ,nasi telur,warteg,roti,bakso
nasigoreng,mieayam,seblak,sate,seblak,gorengan,nasigoreng,nasi_uduk,gorengan,nasigoreng,salad,warteg,salad,nasi_uduk,seblak,salad,nasi_uduk,sate,nasi_uduk,ayamgeprek,bubur,warteg,seblak,mieayam,nasi_uduk,nasigoreng,mieayam,sate,nasigoreng,buah,mieayam,nasipadang,sate,warteg,nasi_uduk,nasi_uduk,nasi_uduk,warteg,capcay,warteg,nasi telur,salad,sate,nasi_uduk,salad,salad,ayamgeprek,capcay,nasipadang,salad,salad,bubur,gorengan,nasigoreng,ayamgeprek,bakso,nasi telur,bubur,capcay,ayamgeprek,seblak,soto
nasi_uduk,gorengan,warteg,cireng,bubur,gorengan,warteg,sate,gorengan,bakso,nasipadang,gorengan,ayamgeprek,capcay,nasigoreng,cireng,nasi_uduk,bubur,nasi_uduk,ayamgeprek,mieayam,cireng,nasigoreng,gorengan,nasipadang,gorengan,seblak,nasi_uduk,mieayam,mi instan ,mieayam,roti,seblak,ayamgeprek,cireng,bakso,warteg,capcay,nasi_uduk,ayamgeprek,warteg,nasigoreng,bubur,seblak,soto,mieayam,buah,soto,roti,salad,nasigoreng,warteg,soto,nasigoreng,ayamgeprek,bubur,seblak,nasipadang,nasigoreng,ayamgeprek,nasi telur,sate
cireng,cireng,salad,warteg,capcay,buah,nasi telur,soto,nasigoreng,warteg,nasipadang,cireng,seblak,bubur,nasi telur,bubur,salad,ayamgeprek,nasipadang,buah,roti,buah,gorengan,seblak,nasipadang,soto,salad,nasipadang,warteg,sate,nasigoreng,nasi_uduk,ayamgeprek,cireng,roti,warteg,salad,capcay,nasi telur,cireng,bakso,seblak,nasipadang,ayamgeprek,roti,soto,nasi_uduk,mi instan ,ayamgeprek,nasipadang,buah,mieayam,nasi telur,mieayam,nasi_uduk,salad,buah,nasi telur,roti,ayamgeprek,nasi_uduk,bakso
nasi telur,seblak,salad,warteg,roti,bakso,ayamgeprek,nasipadang,soto,sate,nasi telur,gorengan,warteg,bakso,nasigoreng,gorengan,salad,gorengan,mi instan ,nasipadang,capcay,nasigoreng,soto,nasi telur,capcay,ayamgeprek,mieayam,gorengan,gorengan,sate,gorengan,bakso,nasi telur,nasigoreng,mieayam,buah,roti,sate,salad,ayamgeprek,salad,soto,capcay,soto,sate,nasi telur,nasipadang,ayamgeprek,mi instan ,salad,seblak,seblak,seblak,mieayam,nasi telur,salad,bubur,gorengan,bakso,buah,roti,roti
mieayam,roti,cireng,nasi telur,soto,bakso,gorengan,soto,warteg,bubur,soto,seblak,nasi telur,nasipadang,nasigoreng,soto,mieayam,bakso,nasigoreng,salad,ayamgeprek,cireng,cireng,nasipadang,salad,bubur,mi instan ,sate,mieayam,nasi telur,soto,buah,nasi_uduk,sate,cireng,cireng,capcay,nasipadang,roti,nasi_uduk,sate,salad,mieayam,roti,nasigoreng,mi instan ,nasi_uduk,bakso,bakso,roti,bakso,warteg,seblak,ayamgeprek,nasi telur,gorengan,cireng,mieayam,nasi_uduk,salad,nasigoreng,gorengan
buah,ayamgeprek,ayamgeprek,soto,roti,warteg,mi instan ,bakso,salad,cireng,mi instan ,nasi telur,nasipadang,capcay,mieayam,nasipadang,sate,ayamgeprek,soto,bakso,salad,mieayam,buah,soto,nasigoreng,bubur,nasi telur,gorengan,ayamgeprek,nasi telur,capcay,seblak,seblak,soto,nasigoreng,nasipadang,mieayam,salad,salad,mieayam,gorengan,nasigoreng,nasigoreng,mi instan ,nasi_uduk,nasi telur,nasipadang,bubur,buah,soto,nasi_uduk,nasi telur,buah,nasi telur,cireng,capcay,nasipadang,bakso,cireng,capcay,bubur,nasigoreng
seblak,cireng,ayamgeprek,seblak,ayamgeprek,bakso,salad,buah,seblak,mieayam,salad,cireng,roti,bubur,sate,bakso,bakso,gorengan,mi instan ,warteg,nasi_uduk,bakso,bakso,warteg,mi instan ,salad,bakso,nasigoreng,bubur,warteg,nasigoreng,sate,nasigoreng,bubur,soto,nasipadang,soto,warteg,gorengan,bubur,mieayam,gorengan,mi instan ,soto,soto,cireng,nasi_uduk,seblak,buah,seblak,seblak,nasi telur,mieayam,seblak,seblak,nasigoreng,nasi_uduk,bubur,salad,salad,nasi telur,bakso
salad,warteg,buah,nasi telur,bakso,seblak,mi instan ,mieayam,nasi telur,salad,roti,bubur,capcay,nasi_uduk,ayamgeprek,bakso,cireng,ayamgeprek,buah,warteg,ayamgeprek,buah,sate,soto,bakso,mieayam,nasigoreng,mieayam,mi instan ,roti,bubur,roti,nasi telur,ayamgeprek,sate,nasigoreng,gorengan,nasipadang,sate,soto,roti,buah,soto,gorengan,seblak,soto,mieayam,seblak,nasi telur,seblak,buah,sate,cireng,mieayam,nasigoreng,nasigoreng,sate,salad,ayamgeprek,capcay,mi instan ,seblak
warteg,nasi_uduk,mi instan ,bakso,warteg,soto,mieayam,bakso,warteg,ayamgeprek,gorengan,warteg,bakso,buah,gorengan,nasi telur,nasi_uduk,warteg,mieayam,nasipadang,mieayam,mieayam,capcay,bakso,nasigoreng,sate,sate,bakso,warteg,capcay,mieayam,mi instan ,nasi telur,nasigoreng,capcay,ayamgeprek,warteg,sate,salad,mieayam,sate,warteg,roti,nasi_uduk,ayamgeprek,soto,nasi telur,mieayam,bakso,soto,mieayam,buah,nasipadang,warteg,bakso,gorengan,mieayam,mi instan ,mi instan ,bakso,sate,capcay
capcay,gorengan,gorengan,cireng,nasi_uduk,cireng,nasipadang,nasi telur,warteg,cireng,soto,soto,mieayam,nasi telur,ayamgeprek,soto,seblak,capcay,bubur,nasigoreng,nasipadang,seblak,bubur,capcay,nasipadang,seblak,bubur,roti,nasi telur,cireng,mieayam,nasi_uduk,bakso,capcay,seblak,seblak,salad,seblak,gorengan,mi instan ,salad,sate,nasi telur,ayamgeprek,nasi_uduk,ayamgeprek,sate,mi instan ,bakso,mieayam,seblak,roti,gorengan,mi instan ,capcay,mieayam,roti,salad,buah,salad,nasi telur,seblak
capcay,seblak,seblak,capcay,bakso,soto,bakso,nasipadang,ayamgeprek,warteg,nasigoreng,ayamgeprek,salad,nasigoreng,nasi telur,mieayam,nasipadang,bubur,nasi_uduk,cireng,mieayam,buah,seblak,capcay,capcay,capcay,seblak,gorengan,cireng,nasi_uduk,mi instan ,salad,soto,ayamgeprek,seblak,nasipadang,roti,seblak,ayamgeprek,bubur,nasipadang,nasipadang,capcay,ayamgeprek,bubur,nasigoreng,buah,salad,gorengan,soto,ayamgeprek,nasipadang,capcay,salad,salad,salad,nasipadang,soto,roti,mieayam,gorengan,nasi telur
capcay,gorengan,ayamgeprek,nasi telur,buah,ayamgeprek,gorengan,cireng,gorengan,sate,salad,capcay,salad,salad,mi instan ,seblak,mieayam,nasi_uduk,bakso,soto,gorengan,capcay,nasi telur,seblak,seblak,salad,nasi_uduk,sate,ayamgeprek,buah,mi instan ,warteg,nasigoreng,cireng,bubur,seblak,buah,nasipadang,gorengan,bubur,warteg,mieayam,seblak,cireng,seblak,soto,soto,warteg,nasi_uduk,soto,soto,mieayam,ayamgeprek,bakso,mieayam,roti,cireng,salad,bakso,gorengan,roti,nasi telur
warteg,roti,warteg,buah,bubur,nasi telur,bubur,nasipadang,bakso,roti,sate,seblak,warteg,ayamgeprek,ayamgeprek,soto,roti,bubur,nasipadang,ayamgeprek,roti,nasi_uduk,mi instan ,nasipadang,nasipadang,bubur,mi instan ,seblak,buah,ayamgeprek,soto,soto,cireng,mi instan ,soto,capcay,nasigoreng,nasigoreng,cireng,cireng,roti,cireng,salad,cireng,mieayam,gorengan,nasigoreng,mi instan ,ayamgeprek,nasigoreng,buah,soto,sate,roti,bubur,mi instan ,warteg,salad,mi instan ,nasi telur,mi instan ,nasipadang
nasi telur,salad,buah,warteg,bubur,nasigoreng,seblak,bakso,buah,seblak,soto,warteg,sate,soto,roti,salad,seblak,warteg,capcay,buah,nasi_uduk,nasi telur,mieayam,nasi telur,mieayam,salad,nasigoreng,bubur,nasipadang,bubur,soto,cireng,bakso,soto,nasi telur,gorengan,mieayam,nasi_uduk,nasigoreng,seblak,soto,seblak,nasigoreng,nasipadang,gorengan,nasipadang,soto,roti,nasi_uduk,bakso,bubur,sate,seblak,soto,capcay,nasigoreng,mieayam,soto,buah,bubur,nasi telur,cireng
sate,warteg,buah,mieayam,soto,soto,salad,cireng,mieayam,capcay,seblak,soto,gorengan,soto,gorengan,capcay,seblak,bubur,bakso,nasipadang,cireng,soto,bakso,cireng,roti,mi instan ,mieayam,mieayam,sate,bubur,nasi_uduk,sate,sate,sate,cireng,nasipadang,seblak,cireng,roti,nasi_uduk,capcay,bubur,roti,nasipadang,seblak,warteg,buah,gorengan,sate,roti,mieayam,nasigoreng,mi instan ,gorengan,ayamgeprek,nasigoreng,cireng,bakso,bakso,warteg,warteg,buah
sate,ayamgeprek,buah,nasi_uduk,cireng,soto,ayamgeprek,bakso,mi instan ,mieayam,warteg,mieayam,nasigoreng,roti,ayamgeprek,ayamgeprek,mieayam,seblak,gorengan,warteg,capcay,buah,cireng,bubur,buah,cireng,salad,buah,nasi_uduk,seblak,warteg,seblak,seblak,buah,cireng,mieayam,buah,mieayam,seblak,soto,warteg,capcay,nasipadang,roti,mieayam,nasipadang,soto,buah,gorengan,nasipadang,capcay,mieayam,bakso,nasi telur,ayamgeprek,salad,nasigoreng,bakso,bakso,buah,seblak,roti
roti,roti,buah,nasi telur,bakso,nasipadang,nasi telur,nasigoreng,capcay,soto,cireng,bakso,mi instan ,nasigoreng,seblak,bakso,bakso,soto,nasi telur,sate,bubur,mieayam,sate,sate,cireng,bubur,sate,gorengan,gorengan,seblak,sate,nasipadang,buah,ayamgeprek,salad,mi instan ,sate,nasigoreng,bakso,nasi telur,mieayam,cireng,warteg,mi instan ,salad,nasipadang,ayamgeprek,soto,buah,gorengan,buah,mi instan ,nasi telur,bakso,buah,bakso,cireng,gorengan,ayamgeprek,ayamgeprek,bubur,ayamgeprek
mi instan ,sate,nasipadang,capcay,nasigoreng,soto,sate,buah,cireng,nasigoreng,mi instan ,sate,mi instan ,buah,warteg,soto,gorengan,sate,nasi telur,bubur,warteg,mieayam,bubur,nasi_uduk,bakso,nasi_uduk,nasi_uduk,mieayam,gorengan,mi instan ,cireng,ayamgeprek,salad,mieayam,nasigoreng,capcay,mi instan ,warteg,gorengan,warteg,warteg,mieayam,warteg,cireng,nasi_uduk,gorengan,roti,salad,mieayam,ayamgeprek,nasipadang,bubur,mieayam,mieayam,mi instan ,bubur,sate,sate,salad,nasigoreng,nasi telur,salad
salad,bakso,sate,cireng,mieayam,gorengan,soto,nasi_uduk,bakso,capcay,roti,ayamgeprek,nasi_uduk,bubur,mi instan ,sate,soto,seblak,nasigoreng,capcay,ayamgeprek,cireng,nasigoreng,nasigoreng,bakso,nasi_uduk,nasi telur,sate,nasipadang,mi instan ,mi instan ,nasigoreng,seblak,sate,sate,seblak,salad,roti,capcay,sate,buah,gorengan,ayamgeprek,capcay,soto,roti,sate,bubur,nasigoreng,mieayam,cireng,buah,ayamgeprek,soto,salad,gorengan,salad,gorengan,soto,roti,buah,cireng
roti,mi instan ,gorengan,mi instan ,gorengan,buah,roti,sate,warteg,gorengan,bakso,warteg,cireng,gorengan,buah,ayamgeprek,ayamgeprek,bakso,ayamgeprek,nasipadang,mi instan ,nasigoreng,mieayam,warteg,nasi_uduk,capcay,salad,soto,seblak,nasipadang,cireng,sate,soto,roti,buah,gorengan,gorengan,bubur,capcay,soto,nasi_uduk,salad,nasipadang,bubur,bakso,ayamgeprek,salad,roti,nasigoreng,nasigoreng,soto,ayamgeprek,mi instan ,salad,sate,buah,salad,nasipadang,seblak,mi instan ,nasigoreng,nasi_uduk
buah,capcay,nasi_uduk,cireng,nasi_uduk,nasi telur,nasipadang,buah,mieayam,salad,cireng,soto,mieayam,nasi_uduk,mi instan ,salad,sate,sate,warteg,sate,mieayam,ayamgeprek,nasipadang,ayamgeprek,seblak,capcay,soto,seblak,ayamgeprek,nasi telur,warteg,bakso,bakso,sate,ayamgeprek,mieayam,nasigoreng,mieayam,warteg,sate,seblak,sate,mi instan ,ayamgeprek,nasi_uduk,nasipadang,sate,sate,nasi telur,nasigoreng,bubur,soto,ayamgeprek,capcay,sate,capcay,nasi_uduk,seblak,buah,soto,capcay,nasigoreng
nasigoreng,capcay,sate,bakso,nasipadang,capcay,bubur,mieayam,soto,mi instan ,salad,capcay,gorengan,salad,sate,nasipadang,gorengan,cireng,buah,nasi telur,nasi_uduk,bubur,nasi_uduk,nasigoreng,buah,cireng,nasi_uduk,capcay,warteg,seblak,nasi telur,seblak,mi instan ,roti,roti,nasipadang,nasigoreng,nasigoreng,gorengan,buah,salad,warteg,gorengan,salad,cireng,seblak,roti,nasi telur,seblak,sate,soto,sate,mi instan ,roti,seblak,salad,nasi telur,nasipadang,ayamgeprek,nasigoreng,buah,capcay
mi instan ,capcay,nasigoreng,seblak,mieayam,buah,cireng,mieayam,capcay,seblak,warteg,nasi_uduk,ayamgeprek,buah,ayamgeprek,mi instan ,bakso,ayamgeprek,nasi_uduk,bakso,roti,warteg,ayamgeprek,nasi_uduk,roti,gorengan,nasipadang,nasi_uduk,ayamgeprek,sate,mieayam,bubur,nasipadang,nasi_uduk,bakso,gorengan,nasi_uduk,roti,sate,seblak,capcay,mieayam,warteg,gorengan,sate,seblak,seblak,nasi telur,salad,nasi telur,warteg,ayamgeprek,ayamgeprek,soto,bubur,ayamgeprek,nasi_uduk,nasigoreng,mi instan ,buah,bubur,bakso
gorengan,nasigoreng,nasipadang,nasi_uduk,warteg,nasi_uduk,warteg,nasi telur,gorengan,sate,roti,nasipadang,cireng,nasigoreng,salad,nasi_uduk,salad,mieayam,nasigoreng,bubur,cireng,ayamgeprek,roti,nasi telur,buah,bubur,capcay,nasigoreng,nasipadang,roti,nasi telur,buah,gorengan,nasi telur,roti,cireng,mi instan ,capcay,buah,salad,warteg,nasipadang,capcay,gorengan,bubur,roti,nasigoreng,salad,nasi_uduk,seblak,salad,mi instan ,soto,nasi telur,mi instan ,ayamgeprek,bakso,seblak,roti,ayamgeprek,bubur,nasigoreng
bubur,seblak,ayamgeprek,buah,cireng,warteg,capcay,seblak,ayamgeprek,buah,mi instan ,capcay,ayamgeprek,salad,ayamgeprek,warteg,soto,sate,nasi_uduk,ayamgeprek,warteg,seblak,buah,warteg,sate,gorengan,bakso,roti,nasi_uduk,capcay,nasigoreng,mieayam,capcay,gorengan,capcay,seblak,capcay,nasipadang,gorengan,nasipadang,capcay,bubur,bubur,salad,mi instan ,seblak,nasi_uduk,mieayam,cireng,nasi telur,nasi telur,mi instan ,buah,nasigoreng,nasi_uduk,buah,ayamgeprek,mi instan ,bakso,buah,nasi telur,nasi telur
nasi_uduk,soto,roti,nasi_uduk,cireng,soto,sate,gorengan,mieayam,nasi_uduk,buah,bubur,soto,nasi telur,cireng,buah,cireng,bakso,buah,warteg,soto,warteg,ayamgeprek,buah,buah,sate,soto,gorengan,seblak,salad,ayamgeprek,mieayam,roti,mieayam,cireng,salad,buah,gorengan,salad,roti,nasigoreng,cireng,mi instan ,cireng,ayamgeprek,capcay,bubur,soto,nasigoreng,sate,mi instan ,bubur,nasi_uduk,seblak,salad,gorengan,nasigoreng,nasigoreng,seblak,capcay,nasi telur,buah
bubur,nasi telur,seblak,warteg,capcay,nasi telur,mi instan ,sate,sate,ayamgeprek,nasigoreng,bubur,warteg,seblak,nasigoreng,warteg,sate,bubur,warteg,bubur,nasi_uduk,cireng,buah,cireng,soto,mieayam,capcay,mieayam,seblak,nasi_uduk,gorengan,roti,salad,seblak,bubur,soto,mi instan ,salad,nasi_uduk,bubur,salad,salad,warteg,mi instan ,nasi_uduk,sate,capcay,gorengan,soto,nasi_uduk,seblak,nasi_uduk,mi instan ,nasigoreng,salad,cireng,capcay,nasipadang,roti,capcay,warteg,warteg
nasi telur,gorengan,buah,nasipadang,buah,mieayam,bubur,salad,mi instan ,seblak,mieayam,soto,gorengan,bakso,nasigoreng,nasigoreng,cireng,capcay,bubur,roti,mi instan ,bubur,mi instan ,nasigoreng,mi instan ,mi instan ,seblak,ayamgeprek,mieayam,nasi_uduk,soto,capcay,mi instan ,seblak,warteg,nasipadang,bakso,nasigoreng,bakso,buah,seblak,salad,nasi_uduk,nasi telur,salad,nasi telur,nasi telur,bubur,seblak,soto,warteg,nasi_uduk,nasi_uduk,mieayam,nasigoreng,capcay,gorengan,gorengan,seblak,buah,nasigoreng,nasi_uduk
bakso,roti,seblak,mieayam,sate,nasigoreng,warteg,nasigoreng,seblak,capcay,nasi_uduk,nasigoreng,seblak,nasigoreng,nasipadang,bakso,sate,bakso,mieayam,capcay,roti,salad,nasipadang,ayamgeprek,nasi_uduk,bakso,bubur,capcay,roti,soto,mi instan ,nasi_uduk,salad,nasipadang,roti,roti,nasi telur,nasipadang,nasi_uduk,nasi telur,cireng,roti,bubur,mi instan ,bubur,bakso,seblak,nasipadang,cireng,sate,buah,nasi telur,capcay,mi instan ,nasigoreng,cireng,salad,soto,mieayam,mieayam,ayamgeprek,capcay
nasi telur,sate,nasi telur,gorengan,soto,nasi telur,sate,nasi telur,salad,soto,ayamgeprek,mi instan ,seblak,buah,mi instan ,bakso,ayamgeprek,bakso,warteg,soto,mieayam,nasigoreng,mi instan ,soto,roti,ayamgeprek,bubur,mieayam,capcay,mieayam,mi instan ,gorengan,nasipadang,buah,salad,nasipadang,gorengan,salad,buah,bubur,mi instan ,bakso,mi instan ,mi instan ,bubur,roti,seblak,bubur,sate,bakso,mi instan ,warteg,buah,seblak,nasi_uduk,seblak,nasigoreng,salad,gorengan,nasi telur,salad,bakso
cireng,gorengan,bubur,nasi telur,gorengan,bakso,nasipadang,nasipadang,mieayam,gorengan,nasigoreng,bakso,nasi telur,capcay,mieayam,nasipadang,cireng,warteg,bakso,buah,nasi telur,salad,soto,nasigoreng,nasi telur,cireng,cireng,sate,mi instan ,warteg,nasi telur,roti,cireng,sate,ayamgeprek,salad,warteg,sate,nasi telur,soto,nasipadang,soto,gorengan,buah,soto,roti,capcay,mieayam,nasi_uduk,buah,mieayam,warteg,warteg,mi instan ,nasipadang,salad,bakso,ayamgeprek,roti,buah,buah,soto
nasi_uduk,nasi_uduk,gorengan,nasigoreng,ayamgeprek,ayamgeprek,nasigoreng,gorengan,nasigoreng,sate,warteg,bubur,cireng,nasipadang,gorengan,bubur,buah,nasi telur,gorengan,gorengan,gorengan,nasipadang,roti,nasi telur,soto,mi instan ,nasi telur,sate,mi instan ,nasi_uduk,nasi telur,nasi telur,nasipadang,capcay,seblak,mi instan ,bubur,nasigoreng,sate,ayamgeprek,buah,cireng,capcay,nasi telur,soto,cireng,capcay,buah,gorengan,nasigoreng,mi instan ,soto,capcay,salad,nasigoreng,cireng,mieayam,bubur,buah,bubur,nasi_uduk,nasigoreng
mi instan ,seblak,nasigoreng,seblak,buah,nasi_uduk,bakso,seblak,salad,nasipadang,nasigoreng,nasipadang,ayamgeprek,seblak,nasi_uduk,mieayam,nasigoreng,mi instan ,nasigoreng,bubur,ayamgeprek,nasipadang,nasi telur,sate,soto,ayamgeprek,cireng,soto,seblak,nasipadang,roti,sate,seblak,capcay,seblak,warteg,cireng,roti,soto,gorengan,warteg,nasi telur,mieayam,soto,soto,soto,nasipadang,cireng,cireng,soto,nasi telur,capcay,nasi_uduk,nasigoreng,buah,seblak,seblak,mieayam,bakso,sate,sate,mieayam
nasipadang,warteg,cireng,nasi_uduk,bakso,nasi telur,capcay,nasi_uduk,cireng,seblak,bubur,bubur,roti,nasi telur,roti,mieayam,sate,nasi_uduk,warteg,nasi telur,nasigoreng,salad,nasi_uduk,nasi telur,bakso,bubur,nasi_uduk,nasi_uduk,salad,nasipadang,gorengan,bubur,nasi telur,soto,nasipadang,seblak,nasigoreng,bakso,soto,cireng,bubur,ayamgeprek,nasi telur,cireng,nasi telur,mi instan ,cireng,ayamgeprek,capcay,warteg,nasipadang,sate,bubur,roti,sate,nasi_uduk,cireng,buah,bubur,buah,nasi telur,gorengan
capcay,bakso,gorengan,seblak,seblak,cireng,nasipadang,seblak,warteg,nasi_uduk,sate,gorengan,gorengan,warteg,nasi telur,buah,nasipadang,mi instan ,nasipadang,nasi telur,mi instan ,mieayam,buah,buah,cireng,warteg,seblak,bubur,seblak,roti,soto,sate,nasi_uduk,buah,soto,nasipadang,bakso,cireng,warteg,gorengan,gorengan,seblak,nasi_uduk,cireng,capcay,mieayam,bakso,mieayam,soto,bubur,soto,nasigoreng,warteg,salad,roti,salad,nasigoreng,capcay,roti,nasipadang,capcay,salad
gorengan,gorengan,mieayam,sate,nasi_uduk,sate,soto,nasipadang,bubur,seblak,buah,sate,nasi_uduk,seblak,nasi_uduk,nasi_uduk,bubur,nasi_uduk,warteg,nasigoreng,gorengan,ayamgeprek,capcay,buah,gorengan,nasi_uduk,gorengan,mieayam,mi instan ,soto,ayamgeprek,cireng,soto,gorengan,gorengan,seblak,cireng,mi instan ,sate,capcay,capcay,nasigoreng,bubur,cireng,bakso,cireng,nasigoreng,bubur,cireng,nasi_uduk,salad,seblak,seblak,salad,buah,nasigoreng,mieayam,soto,nasipadang,sate,bakso,seblak
nasigoreng,buah,nasigoreng,nasi_uduk,bubur,buah,capcay,mi instan ,bubur,capcay,nasi_uduk,nasigoreng,nasigoreng,sate,mi instan ,gorengan,buah,nasipadang,capcay,ayamgeprek,salad,buah,bakso,seblak,mi instan ,seblak,mi instan ,capcay,ayamgeprek,sate,warteg,buah,gorengan,gorengan,roti,nasi_uduk,bakso,bakso,roti,nasigoreng,seblak,nasi_uduk,roti,bakso,gorengan,bakso,nasigoreng,capcay,capcay,seblak,seblak,bakso,mieayam,cireng,nasi_uduk,roti,cireng,nasi telur,nasipadang,roti,nasigoreng,nasi_uduk
gorengan,salad,buah,bakso,nasipadang,nasi telur,nasi telur,warteg,bubur,mi instan ,buah,mieayam,capcay,nasipadang,bakso,mi instan ,cireng,sate,sate,warteg,cireng,nasi_uduk,gorengan,mieayam,ayamgeprek,buah,soto,buah,soto,capcay,nasi telur,cireng,salad,capcay,nasi_uduk,bakso,mieayam,nasi_uduk,capcay,capcay,nasigoreng,ayamgeprek,nasigoreng,salad,bakso,bakso,cireng,gorengan,sate,roti,salad,bubur,nasigoreng,warteg,warteg,salad,gorengan,soto,mi instan ,seblak,seblak,nasi telur
